occ_code,occ_name,group_name
251124,"Foreign Language and Literature Teachers, Postsecondary",Postsecondary Teachers
251123,"English Language and Literature Teachers, Postsecondary",Postsecondary Teachers
251081,"Education Teachers, Postsecondary",Postsecondary Teachers
251082,"Library Science Teachers, Postsecondary",Postsecondary Teachers
251031,"Architecture Teachers, Postsecondary",Postsecondary Teachers
251072,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teachers
251069,"Social Sciences Teachers, Postsecondary, All Other",Postsecondary Teachers
251021,"Computer Science Teachers, Postsecondary",Postsecondary Teachers
251052,"Chemistry Teachers, Postsecondary",Postsecondary Teachers
251061,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teachers
251066,"Psychology Teachers, Postsecondary",Postsecondary Teachers
251113,"Social Work Teachers, Postsecondary",Postsecondary Teachers
251122,"Communications Teachers, Postsecondary",Postsecondary Teachers
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teachers
251126,"Philosophy and Religion Teachers, Postsecondary",Postsecondary Teachers
251022,"Mathematical Science Teachers, Postsecondary",Postsecondary Teachers
251053,"Environmental Science Teachers, Postsecondary",Postsecondary Teachers
251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teachers
251043,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teachers
251042,"Biological Science Teachers, Postsecondary",Postsecondary Teachers
251011,"Business Teachers, Postsecondary",Postsecondary Teachers
251064,"Geography Teachers, Postsecondary",Postsecondary Teachers
251032,"Engineering Teachers, Postsecondary",Postsecondary Teachers
251041,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teachers
251071,"Health Specialties Teachers, Postsecondary",Postsecondary Teachers
251063,"Economics Teachers, Postsecondary",Postsecondary Teachers
251065,"Political Science Teachers, Postsecondary",Postsecondary Teachers
251054,"Physics Teachers, Postsecondary",Postsecondary Teachers
251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Postsecondary Teachers
251121,"Art, Drama, and Music Teachers, Postsecondary",Postsecondary Teachers
251067,"Sociology Teachers, Postsecondary",Postsecondary Teachers
251125,"History Teachers, Postsecondary",Postsecondary Teachers
251112,"Law Teachers, Postsecondary",Postsecondary Teachers
231011,Lawyers,Lawyers
291031,Dietitians and Nutritionists,Dietitians and Nutritionists
291125,Recreational Therapists,Recreational Therapists
193094,Political Scientists,Political Scientists
172131,Materials Engineers,Materials Engineers
131141,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists"
532012,Commercial Pilots,Airline and Commercial Pilots
532011,"Airline Pilots, Copilots, and Flight Engineers",Airline and Commercial Pilots
171012,Landscape Architects,Landscape Architects
492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Electrical and Electronics Installers and Repairers
492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",Electrical and Electronics Installers and Repairers
492092,"Electric Motor, Power Tool, and Related Repairers",Electrical and Electronics Installers and Repairers
492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Electrical and Electronics Installers and Repairers
492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Electrical and Electronics Installers and Repairers
530000,Transportation and Material Moving Occupations,Transportation and Material Moving Occupations
000000,All Occupations,All Occupations
319096,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers
119041,Architectural and Engineering Managers,Architectural and Engineering Managers
351011,Chefs and Head Cooks,Chefs and Head Cooks
119081,Lodging Managers,Lodging Managers
493021,Automotive Body and Related Repairers,Automotive Body and Glass Repairers
493022,Automotive Glass Installers and Repairers,Automotive Body and Glass Repairers
499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
173027,Mechanical Engineering Technicians,Mechanical Engineering Technicians
472171,Reinforcing Iron and Rebar Workers,Ironworkers
472221,Structural Iron and Steel Workers,Ironworkers
131075,Labor Relations Specialists,Labor Relations Specialists
192012,Physicists,Physicists and Astronomers
192011,Astronomers,Physicists and Astronomers
292091,Orthotists and Prosthetists,Orthotists and Prosthetists
271014,Multimedia Artists and Animators,Multimedia Artists and Animators
152021,Mathematicians,Mathematicians
533041,Taxi Drivers and Chauffeurs,Taxi Drivers and Chauffeurs
433071,Tellers,Tellers
194031,Chemical Technicians,Chemical Technicians
272022,Coaches and Scouts,Coaches and Scouts
252023,"Career/Technical Education Teachers, Middle School",Career and Technical Education Teachers
251194,"Vocational Education Teachers, Postsecondary",Career and Technical Education Teachers
252032,"Career/Technical Education Teachers, Secondary School",Career and Technical Education Teachers
173026,Industrial Engineering Technicians,Industrial Engineering Technicians
319092,Medical Assistants,Medical Assistants
450000,"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations"
252051,"Special Education Teachers, Preschool",Special Education Teachers
252053,"Special Education Teachers, Middle School",Special Education Teachers
252052,"Special Education Teachers, Kindergarten and Elementary School",Special Education Teachers
252054,"Special Education Teachers, Secondary School",Special Education Teachers
472132,"Insulation Workers, Mechanical",Insulation Workers
472131,"Insulation Workers, Floor, Ceiling, and Wall",Insulation Workers
172071,Electrical Engineers,Electrical and Electronics Engineers
172072,"Electronics Engineers, Except Computer",Electrical and Electronics Engineers
319094,Medical Transcriptionists,Medical Transcriptionists
151121,Computer Systems Analysts,Computer Systems Analysts
113051,Industrial Production Managers,Industrial Production Managers
434121,"Library Assistants, Clerical",Library Technicians and Assistants
254031,Library Technicians,Library Technicians and Assistants
472211,Sheet Metal Workers,Sheet Metal Workers
372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Janitors and Building Cleaners
130000,Business and Financial Operations Occupations,Business and Financial Operations Occupations
151131,Computer Programmers,Computer Programmers
472152,"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitters"
519071,Jewelers and Precious Stone and Metal Workers,Jewelers and Precious Stone and Metal Workers
292031,Cardiovascular Technologists and Technicians,"Diagnostic Medical Sonographers and Cardiovascular Technologists and Technicians, Including Vascular Technologists"
292032,Diagnostic Medical Sonographers,"Diagnostic Medical Sonographers and Cardiovascular Technologists and Technicians, Including Vascular Technologists"
472042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Flooring Installers and Tile and Marble Setters
472041,Carpet Installers,Flooring Installers and Tile and Marble Setters
472043,Floor Sanders and Finishers,Flooring Installers and Tile and Marble Setters
472044,Tile and Marble Setters,Flooring Installers and Tile and Marble Setters
359099,"Food Preparation and Serving Related Workers, All Other",Food and Beverage Serving and Related Workers
353041,"Food Servers, Nonrestaurant",Food and Beverage Serving and Related Workers
353021,"Combined Food Preparation and Serving Workers, Including Fast Food",Food and Beverage Serving and Related Workers
359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Food and Beverage Serving and Related Workers
353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Food and Beverage Serving and Related Workers
359011,Dining Room and Cafeteria Attendants and Bartender Helpers,Food and Beverage Serving and Related Workers
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Health and Safety Engineers
194011,Agricultural and Food Science Technicians,Agricultural and Food Science Technicians
132061,Financial Examiners,Financial Examiners
119111,Medical and Health Services Managers,Medical and Health Services Managers
410000,Sales and Related Occupations,Sales and Related Occupations
192031,Chemists,Chemists and Materials Scientists
192032,Materials Scientists,Chemists and Materials Scientists
312021,Physical Therapist Assistants,Physical Therapist Assistants and Aides
312022,Physical Therapist Aides,Physical Therapist Assistants and Aides
273041,Editors,Editors
472111,Electricians,Electricians
211014,Mental Health Counselors,Mental Health Counselors and Marriage and Family Therapists
211013,Marriage and Family Therapists,Mental Health Counselors and Marriage and Family Therapists
271021,Commercial and Industrial Designers,Industrial Designers
470000,Construction and Extraction Occupations,Construction and Extraction Occupations
191023,Zoologists and Wildlife Biologists,Zoologists and Wildlife Biologists
151142,Network and Computer Systems Administrators,Network and Computer Systems Administrators
